Year,Type,Cancer-CA,Cancer-OR,Barnacle-CA,Barnacle-OR,,,,,,,,,,
2000,Recruiment Densities,,,,,,,,,,,,,,
2001,Recruiment Densities,3,1,15,20,,,,,,,,,,
2002,Recruiment Densities,15,22,16,12,,,,,,,,,,
2003,Recruiment Densities,28,19,13,15,,,,,,,,,,
2004,Recruiment Densities,19,2,14,22,,,,,,,,,,
2005,Recruiment Densities,25,14,15,10,,,,,,,,,,
2006,Recruiment Densities,23,8,8,19,,,,,,,,,,
2007,Recruiment Densities,28,30,11,14,,,,,,,,,,
2008,Recruiment Densities,17,24,10,13,,,,,,,,,,
2009,Recruiment Densities,10,8,8,9,,,,,,,,,,
2010,Recruiment Densities,6,30,12,9,,,,,,,,,,
2011,Recruiment Densities,22,12,5,18,,,,,,,,,,
2012,Recruiment Densities,33,24,5,13,,,,,,,,,,
2013,Recruiment Densities,30,32,11,11,,,,,,,,,,
2014,Recruiment Densities,30,13,5,3,,,,,,,,,,
2015,Recruiment Densities,32,20,4,18,,,,,,,,,,
2016,Recruiment Densities,30,10,3,8,,,,,,,,,,
2017,Recruiment Densities,1,25,9,5,,,,,,,,,,
2018,Recruiment Densities,12,13,10,3,,,,,,,,,,
2019,Recruiment Densities,28,19,4,13,,,,,,,,,,
2000,Adult Densities,13,1,41,28,,,,,,,,,,
2001,Adult Densities,17,5,38,18,,,,,,,,,,
2002,Adult Densities,15,13,37,28,,,,,,,,,,
2003,Adult Densities,16,7,42,37,,,,,,,,,,
2004,Adult Densities,14,29,42,38,,,,,,,,,,
2005,Adult Densities,20,32,39,33,,,,,,,,,,
2006,Adult Densities,18,18,37,28,,,,,,,,,,
2007,Adult Densities,16,36,35,28,,,,,,,,,,
2008,Adult Densities,20,36,35,34,,,,,,,,,,
2009,Adult Densities,18,39,31,35,,,,,,,,,,
2010,Adult Densities,18,10,39,30,,,,,,,,,,
2011,Adult Densities,17,22,31,17,,,,,,,,,,
2012,Adult Densities,17,18,33,21,,,,,,,,,,
2013,Adult Densities,17,23,34,28,,,,,,,,,,
2014,Adult Densities,17,22,32,33,,,,,,,,,,
2015,Adult Densities,23,14,31,32,,,,,,,,,,
2016,Adult Densities,18,40,32,21,,,,,,,,,,
2017,Adult Densities,19,36,34,15,,,,,,,,,,
2018,Adult Densities,23,27,27,20,,,,,,,,,,
2019,Adult Densities,19,43,28,30,,,,,,,,,,
2000,Upwelling Indicies,,235,,69,,,,,,,,,,
2001,Upwelling Indicies,83,192,11,-11,,,,,,,,,,
2002,Upwelling Indicies,122,108,-26,44,,,,,,,,,,
2003,Upwelling Indicies,28,-50,17,78,,,,,,,,,,
2004,Upwelling Indicies,41,21,59,-31,,,,,,,,,,
2005,Upwelling Indicies,110,-49,89,64,,,,,,,,,,
2006,Upwelling Indicies,-121,57,2,-8,,,,,,,,,,
2007,Upwelling Indicies,-30,-2,58,-11,,,,,,,,,,
2008,Upwelling Indicies,-34,111,-29,-31,,,,,,,,,,
2009,Upwelling Indicies,-130,-78,78,-37,,,,,,,,,,
2010,Upwelling Indicies,59,-38,-61,68,,,,,,,,,,
2011,Upwelling Indicies,-190,-134,1,-15,,,,,,,,,,
2012,Upwelling Indicies,-186,45,-12,-10,,,,,,,,,,
2013,Upwelling Indicies,-49,1,-3,-86,,,,,,,,,,
2014,Upwelling Indicies,-198,72,10,27,,,,,,,,,,
2015,Upwelling Indicies,-233,-191,-74,-64,,,,,,,,,,
2016,Upwelling Indicies,-293,1,-61,-102,,,,,,,,,,
2017,Upwelling Indicies,-67,-193,-38,-92,,,,,,,,,,
2018,Upwelling Indicies,-53,68,-82,-6,,,,,,,,,,
2019,Upwelling Indicies,-188,,5,,,,,,,,,,,
